"IdReparacion","IdMoto","IdUsuario","Descripcion","Estado","FechaInicio","FechaFin","Total","Fase"
"37","3847","4307","Reemplazo de pastillas de freno.","Finalizado","2026-03-27 00:00:00","2026-03-31 00:00:00","5098","Entregado"
"38","829","3315","Ajuste de clutch y transmisión.","Finalizado","2026-03-26 00:00:00","2026-03-26 00:00:00","713","Cliente informado"
"39","3463","4494","Cambio de aceite y filtro.","Finalizado","2026-03-24 00:00:00","2026-03-28 00:00:00","1796","Entregado"
"40","594","3326","Reemplazo de pastillas de freno.","Finalizado","2026-03-20 00:00:00","2026-03-24 00:00:00","2336","Cliente informado"
"41","227","4083","Reemplazo de pastillas de freno.","Finalizado","2026-03-04 00:00:00","2026-02-22 00:00:00","5125","Entregado"
"42","3828","3976","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-08 00:00:00","2026-03-12 00:00:00","3368","Cliente informado"
"43","990","4098","Limpieza de sistema de inyección.","Finalizado","2026-03-07 00:00:00","2026-03-07 00:00:00","1636","Entregado"
"44","725","4790","Alineación de ruedas y balanceo.","Finalizado","2026-02-28 00:00:00","2026-03-02 00:00:00","954","Cliente informado"
"45","4473","3309","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-01 00:00:00","2026-03-03 00:00:00","3866","Entregado"
"46","1664","2688","Cambio de cadena y sprocket.","Finalizado","2026-03-21 00:00:00","2026-03-24 00:00:00","2520","Cliente informado"
"47","1570","1604","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-05 00:00:00","2026-03-09 00:00:00","807","Entregado"
"48","353","761","Reparación de frenos delanteros.","Finalizado","2026-03-28 00:00:00","2026-04-01 00:00:00","4964","Cliente informado"
"49","3124","1096","Reemplazo de pastillas de freno.","Finalizado","2026-03-11 00:00:00","2026-03-12 00:00:00","608","Entregado"
"50","4708","3694","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-13 00:00:00","2026-03-16 00:00:00","2423","Cliente informado"
"51","2225","1079","Ajuste y limpieza de carburador.","Finalizado","2026-03-11 00:00:00","2026-03-01 00:00:00","1654","Entregado"
"52","391","2742","Ajuste y limpieza de carburador.","Finalizado","2026-03-29 00:00:00","2026-03-29 00:00:00","1876","Cliente informado"
"53","25","826","Alineación de ruedas y balanceo.","Finalizado","2026-03-22 00:00:00","2026-03-22 00:00:00","1713","Entregado"
"54","2071","3721","Ajuste y limpieza de carburador.","Finalizado","2026-03-04 00:00:00","2026-03-05 00:00:00","3909","Cliente informado"
"55","3173","2302","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-29 00:00:00","2026-03-19 00:00:00","4615","Entregado"
"56","1374","2616","Ajuste de clutch y transmisión.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","4492","Cliente informado"
"57","1249","3244","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-14 00:00:00","2026-03-16 00:00:00","150","Entregado"
"58","2409","3572","Reparación de suspensión delantera.","Finalizado","2026-03-10 00:00:00","2026-03-13 00:00:00","1801","Cliente informado"
"59","1213","178","Cambio de cadena y sprocket.","Finalizado","2026-03-18 00:00:00","2026-03-18 00:00:00","3030","Entregado"
"60","3887","2663","Reemplazo de pastillas de freno.","En proceso","2026-03-13 00:00:00","2026-03-13 00:00:00","4129","Cliente informado"
"61","2121","4930","Cambio de aceite y filtro.","Finalizado","2026-03-05 00:00:00","2026-03-06 00:00:00","887","Entregado"
"62","1960","2496","Limpieza de sistema de inyección.","Finalizado","2026-03-01 00:00:00","2026-03-05 00:00:00","3332","Cliente informado"
"63","773","200","Cambio de llanta trasera.","Finalizado","2026-03-22 00:00:00","2026-03-26 00:00:00","4811","Entregado"
"64","1721","4490","Diagnóstico de falla de encendido.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","908","Cliente informado"
"65","1911","4257","Ajuste y limpieza de carburador.","Finalizado","2026-03-21 00:00:00","2026-03-11 00:00:00","2090","Entregado"
"66","3886","418","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-18 00:00:00","2026-03-22 00:00:00","2230","Cliente informado"
"67","4663","2877","Alineación de ruedas y balanceo.","Finalizado","2026-03-11 00:00:00","2026-03-01 00:00:00","5020","Entregado"
"68","2873","2693","Ajuste y limpieza de carburador.","Finalizado","2026-03-02 00:00:00","2026-03-05 00:00:00","3976","Cliente informado"
"69","1861","1289","Diagnóstico de falla de encendido.","Finalizado","2026-03-25 00:00:00","2026-03-28 00:00:00","2937","Entregado"
"70","1221","1536","Cambio de cadena y sprocket.","Entregado","2026-03-09 00:00:00","2026-03-09 00:00:00","3455","Cliente informado"
"71","2263","3844","Ajuste de clutch y transmisión.","Finalizado","2026-03-23 00:00:00","2026-03-23 00:00:00","2991","Entregado"
"72","275","3545","Cambio de bujía y calibración.","En proceso","2026-03-08 00:00:00","2026-03-10 00:00:00","3217","Cliente informado"
"73","2986","1912","Reparación de suspensión delantera.","Finalizado","2026-03-23 00:00:00","2026-03-23 00:00:00","4861","Entregado"
"74","4780","5251","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-17 00:00:00","2026-03-20 00:00:00","4183","Cliente informado"
"75","4125","1400","Ajuste de clutch y transmisión.","Finalizado","2026-03-25 00:00:00","2026-03-26 00:00:00","1981","Entregado"
"76","3400","4385","Mantenimiento general y ajuste de motor.","Entregado","2026-03-03 00:00:00","2026-03-06 00:00:00","2471","Cliente informado"
"77","2580","3814","Reparación de suspensión delantera.","Finalizado","2026-03-13 00:00:00","2026-03-16 00:00:00","4289","Entregado"
"78","4655","4571","Reparación de frenos delanteros.","Finalizado","2026-03-27 00:00:00","2026-03-27 00:00:00","5490","Cliente informado"
"79","1304","1900","Limpieza de sistema de inyección.","Finalizado","2026-03-01 00:00:00","2026-03-04 00:00:00","4457","Entregado"
"80","137","4511","Ajuste y limpieza de carburador.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","1446","Cliente informado"
"81","4334","192","Cambio de aceite y filtro.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","2367","Entregado"
"82","1808","4786","Cambio de bujía y calibración.","Finalizado","2026-03-17 00:00:00","2026-03-20 00:00:00","1368","Cliente informado"
"83","2414","5134","Reparación de frenos delanteros.","Finalizado","2026-03-17 00:00:00","2026-03-21 00:00:00","3356","Entregado"
"84","1187","3819","Reemplazo de pastillas de freno.","Finalizado","2026-03-10 00:00:00","2026-03-14 00:00:00","3513","Cliente informado"
"85","4489","3051","Cambio de cadena y sprocket.","Finalizado","2026-03-15 00:00:00","2026-03-17 00:00:00","1781","Entregado"
"86","4938","1938","Ajuste y limpieza de carburador.","Finalizado","2026-03-13 00:00:00","2026-03-16 00:00:00","5092","Cliente informado"
"87","4874","311","Ajuste de clutch y transmisión.","Finalizado","2026-03-11 00:00:00","2026-03-14 00:00:00","2449","Entregado"
"88","1213","3594","Reparación de frenos delanteros.","Finalizado","2026-03-12 00:00:00","2026-03-02 00:00:00","4189","Cliente informado"
"89","278","3918","Ajuste de clutch y transmisión.","Finalizado","2026-03-28 00:00:00","2026-03-30 00:00:00","150","Entregado"
"90","1400","656","Ajuste y limpieza de carburador.","En proceso","2026-03-08 00:00:00","2026-03-08 00:00:00","4262","Cliente informado"
"91","3642","3490","Alineación de ruedas y balanceo.","Finalizado","2026-03-20 00:00:00","2026-03-24 00:00:00","5030","Entregado"
"92","3988","2505","Cambio de cadena y sprocket.","Finalizado","2026-02-28 00:00:00","2026-03-03 00:00:00","1205","Cliente informado"
"93","3242","3935","Cambio de llanta trasera.","Finalizado","2026-03-16 00:00:00","2026-03-17 00:00:00","4420","Entregado"
"94","2677","3090","Cambio de bujía y calibración.","Finalizado","2026-03-17 00:00:00","2026-03-17 00:00:00","770","Cliente informado"
"95","2137","4386","Ajuste de clutch y transmisión.","Finalizado","2026-03-03 00:00:00","2026-03-03 00:00:00","1286","Entregado"
"96","1888","2719","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-21 00:00:00","2026-03-23 00:00:00","3145","Cliente informado"
"97","2737","4701","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","4835","Entregado"
"98","4633","2016","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-18 00:00:00","2026-03-18 00:00:00","3705","Cliente informado"
"99","2684","691","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-29 00:00:00","2026-03-31 00:00:00","2602","Entregado"
"100","4120","995","Reparación de frenos delanteros.","Finalizado","2026-03-18 00:00:00","2026-03-20 00:00:00","3998","Cliente informado"
"101","485","1384","Cambio de bujía y calibración.","Finalizado","2026-03-26 00:00:00","2026-03-30 00:00:00","5234","Entregado"
"102","2312","1364","Cambio de cadena y sprocket.","Finalizado","2026-03-01 00:00:00","2026-03-01 00:00:00","150","Cliente informado"
"103","4741","3736","Limpieza de sistema de inyección.","Finalizado","2026-03-14 00:00:00","2026-03-17 00:00:00","772","Entregado"
"104","2200","479","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-07 00:00:00","2026-02-25 00:00:00","1338","Cliente informado"
"105","83","2646","Cambio de bujía y calibración.","Finalizado","2026-03-01 00:00:00","2026-03-01 00:00:00","5370","Entregado"
"106","1032","1808","Cambio de bujía y calibración.","Finalizado","2026-02-28 00:00:00","2026-03-01 00:00:00","1732","Cliente informado"
"107","3888","3717","Ajuste y limpieza de carburador.","Finalizado","2026-03-23 00:00:00","2026-03-24 00:00:00","5257","Entregado"
"108","3262","1103","Reparación de suspensión delantera.","Finalizado","2026-03-20 00:00:00","2026-03-21 00:00:00","5095","Cliente informado"
"109","2130","4496","Cambio de bujía y calibración.","Finalizado","2026-03-04 00:00:00","2026-03-06 00:00:00","150","Entregado"
"110","2927","1161","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-12 00:00:00","2026-03-13 00:00:00","2819","Cliente informado"
"111","1919","1331","Diagnóstico de falla de encendido.","Finalizado","2026-03-26 00:00:00","2026-03-30 00:00:00","1669","Entregado"
"112","3363","536","Limpieza de sistema de inyección.","Finalizado","2026-03-29 00:00:00","2026-03-31 00:00:00","1585","Cliente informado"
"113","2030","4933","Reparación de frenos delanteros.","Finalizado","2026-03-09 00:00:00","2026-03-11 00:00:00","150","Entregado"
"114","4274","5268","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-03 00:00:00","2026-03-06 00:00:00","1794","Cliente informado"
"115","584","62","Cambio de llanta trasera.","Finalizado","2026-03-18 00:00:00","2026-03-21 00:00:00","3227","Entregado"
"116","4801","4467","Alineación de ruedas y balanceo.","Finalizado","2026-03-17 00:00:00","2026-03-07 00:00:00","539","Cliente informado"
"117","566","4348","Cambio de cadena y sprocket.","Finalizado","2026-03-10 00:00:00","2026-03-13 00:00:00","921","Entregado"
"118","1508","1912","Soldadura de soporte y refuerzo de chasis.","Entregado","2026-03-12 00:00:00","2026-03-16 00:00:00","2252","Cliente informado"
"119","3802","1909","Cambio de bujía y calibración.","Finalizado","2026-03-12 00:00:00","2026-03-12 00:00:00","3502","Entregado"
"120","2929","648","Limpieza de sistema de inyección.","Finalizado","2026-03-03 00:00:00","2026-03-05 00:00:00","3135","Cliente informado"
"121","1966","1739","Diagnóstico de falla de encendido.","Finalizado","2026-03-07 00:00:00","2026-03-10 00:00:00","5176","Entregado"
"122","3894","1817","Reparación de frenos delanteros.","En proceso","2026-03-20 00:00:00","2026-03-22 00:00:00","2844","Cliente informado"
"123","1222","2008","Cambio de bujía y calibración.","Entregado","2026-03-17 00:00:00","2026-03-20 00:00:00","2843","Entregado"
"124","2411","4957","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-20 00:00:00","2026-03-23 00:00:00","4076","Cliente informado"
"125","4884","1811","Ajuste de clutch y transmisión.","Finalizado","2026-03-01 00:00:00","2026-03-05 00:00:00","1906","Entregado"
"126","2866","1158","Reemplazo de pastillas de freno.","Finalizado","2026-03-20 00:00:00","2026-03-10 00:00:00","5466","Cliente informado"
"127","2918","3833","Reemplazo de pastillas de freno.","Finalizado","2026-03-01 00:00:00","2026-03-01 00:00:00","899","Entregado"
"128","3587","4379","Cambio de aceite y filtro.","Finalizado","2026-03-05 00:00:00","2026-03-06 00:00:00","4313","Cliente informado"
"129","4782","1361","Reparación de frenos delanteros.","Finalizado","2026-03-05 00:00:00","2026-03-06 00:00:00","4468","Entregado"
"130","4809","3545","Ajuste de clutch y transmisión.","Finalizado","2026-03-13 00:00:00","2026-03-17 00:00:00","2202","Cliente informado"
"131","3395","346","Cambio de aceite y filtro.","Finalizado","2026-03-09 00:00:00","2026-03-11 00:00:00","2931","Entregado"
"132","318","1978","Reemplazo de pastillas de freno.","Finalizado","2026-03-09 00:00:00","2026-03-12 00:00:00","4706","Cliente informado"
"133","4066","2108","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-03 00:00:00","2026-03-06 00:00:00","2688","Entregado"
"134","299","1255","Alineación de ruedas y balanceo.","Finalizado","2026-03-23 00:00:00","2026-03-23 00:00:00","2315","Cliente informado"
"135","1650","3127","Cambio de cadena y sprocket.","Finalizado","2026-03-19 00:00:00","2026-03-22 00:00:00","1477","Entregado"
"136","4551","37","Ajuste y limpieza de carburador.","Finalizado","2026-03-22 00:00:00","2026-03-25 00:00:00","2082","Cliente informado"
"137","2125","3015","Reparación de frenos delanteros.","Finalizado","2026-03-26 00:00:00","2026-03-27 00:00:00","2591","Entregado"
"138","1048","1982","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-15 00:00:00","2026-03-19 00:00:00","4775","Cliente informado"
"139","4875","5237","Reparación de suspensión delantera.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","566","Entregado"
"140","4437","1078","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-04 00:00:00","2026-03-07 00:00:00","1592","Cliente informado"
"141","1758","826","Limpieza de sistema de inyección.","Finalizado","2026-03-04 00:00:00","2026-03-04 00:00:00","4712","Entregado"
"142","3484","5027","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-05 00:00:00","2026-02-23 00:00:00","2766","Cliente informado"
"143","801","4236","Reparación de frenos delanteros.","Finalizado","2026-03-19 00:00:00","2026-03-20 00:00:00","2894","Entregado"
"144","3737","3468","Cambio de bujía y calibración.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","3915","Cliente informado"
"145","3717","4753","Cambio de llanta trasera.","Finalizado","2026-03-23 00:00:00","2026-03-25 00:00:00","2551","Entregado"
"146","519","2058","Alineación de ruedas y balanceo.","Finalizado","2026-03-28 00:00:00","2026-03-18 00:00:00","2101","Cliente informado"
"147","786","2305","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-24 00:00:00","2026-03-25 00:00:00","3913","Entregado"
"148","3841","4136","Soldadura de soporte y refuerzo de chasis.","En proceso","2026-03-09 00:00:00","2026-03-12 00:00:00","1363","Cliente informado"
"149","4540","1036","Cambio de bujía y calibración.","Finalizado","2026-03-12 00:00:00","2026-03-12 00:00:00","1226","Entregado"
"150","967","4338","Cambio de llanta trasera.","Finalizado","2026-03-04 00:00:00","2026-03-06 00:00:00","3316","Cliente informado"
"151","418","3159","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-26 00:00:00","2026-03-28 00:00:00","1032","Entregado"
"152","3031","3545","Cambio de cadena y sprocket.","Finalizado","2026-03-15 00:00:00","2026-03-05 00:00:00","4783","Cliente informado"
"153","2895","4672","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-12 00:00:00","2026-03-14 00:00:00","3654","Entregado"
"154","4421","3643","Reparación de frenos delanteros.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","3767","Cliente informado"
"155","3005","2798","Limpieza de sistema de inyección.","Finalizado","2026-03-03 00:00:00","2026-03-03 00:00:00","3000","Entregado"
"156","3454","766","Diagnóstico de falla de encendido.","Finalizado","2026-03-11 00:00:00","2026-03-14 00:00:00","3011","Cliente informado"
"157","1112","2367","Diagnóstico de falla de encendido.","Finalizado","2026-03-17 00:00:00","2026-03-19 00:00:00","4242","Entregado"
"158","3413","2716","Cambio de cadena y sprocket.","Finalizado","2026-03-25 00:00:00","2026-03-26 00:00:00","4043","Cliente informado"
"159","4306","1278","Limpieza de sistema de inyección.","Finalizado","2026-03-03 00:00:00","2026-03-07 00:00:00","5478","Entregado"
"160","1524","940","Reparación de suspensión delantera.","Finalizado","2026-03-02 00:00:00","2026-03-03 00:00:00","5283","Cliente informado"
"161","292","3440","Alineación de ruedas y balanceo.","Finalizado","2026-03-01 00:00:00","2026-03-02 00:00:00","720","Entregado"
"162","1405","1463","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-17 00:00:00","2026-03-20 00:00:00","1102","Cliente informado"
"163","2791","4963","Reparación de suspensión delantera.","Finalizado","2026-03-10 00:00:00","2026-03-10 00:00:00","5143","Entregado"
"164","3462","3276","Alineación de ruedas y balanceo.","Finalizado","2026-03-06 00:00:00","2026-03-07 00:00:00","2303","Cliente informado"
"165","3615","2346","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-20 00:00:00","2026-03-21 00:00:00","150","Entregado"
"166","802","4732","Reparación de frenos delanteros.","Finalizado","2026-03-09 00:00:00","2026-03-13 00:00:00","4642","Cliente informado"
"167","1065","2208","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-14 00:00:00","2026-03-16 00:00:00","1721","Entregado"
"168","3118","1347","Diagnóstico de falla de encendido.","Finalizado","2026-03-12 00:00:00","2026-03-13 00:00:00","1424","Cliente informado"
"169","4650","3408","Cambio de llanta trasera.","Finalizado","2026-03-08 00:00:00","2026-03-09 00:00:00","3228","Entregado"
"170","151","2399","Ajuste y limpieza de carburador.","Finalizado","2026-03-23 00:00:00","2026-03-26 00:00:00","913","Cliente informado"
"171","213","363","Reemplazo de pastillas de freno.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","3941","Entregado"
"172","4455","3528","Cambio de aceite y filtro.","Finalizado","2026-03-20 00:00:00","2026-03-20 00:00:00","3470","Cliente informado"
"173","4289","905","Ajuste de clutch y transmisión.","Finalizado","2026-03-08 00:00:00","2026-03-09 00:00:00","2953","Entregado"
"174","4768","3741","Ajuste y limpieza de carburador.","Finalizado","2026-03-05 00:00:00","2026-03-07 00:00:00","1885","Cliente informado"
"175","2622","4552","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-02 00:00:00","2026-03-05 00:00:00","3317","Entregado"
"176","2535","3464","Cambio de bujía y calibración.","Finalizado","2026-03-11 00:00:00","2026-03-11 00:00:00","4204","Cliente informado"
"177","2466","4155","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-21 00:00:00","2026-03-24 00:00:00","150","Entregado"
"178","4788","3133","Reemplazo de pastillas de freno.","Finalizado","2026-03-18 00:00:00","2026-03-20 00:00:00","1747","Cliente informado"
"179","2520","817","Cambio de bujía y calibración.","Finalizado","2026-03-05 00:00:00","2026-03-09 00:00:00","1788","Entregado"
"180","3574","2443","Alineación de ruedas y balanceo.","Finalizado","2026-03-26 00:00:00","2026-03-28 00:00:00","904","Cliente informado"
"181","4106","2717","Reparación de suspensión delantera.","Finalizado","2026-03-21 00:00:00","2026-03-22 00:00:00","1936","Entregado"
"182","1728","4048","Ajuste y limpieza de carburador.","Finalizado","2026-03-24 00:00:00","2026-03-25 00:00:00","4029","Cliente informado"
"183","2538","3262","Alineación de ruedas y balanceo.","Finalizado","2026-03-14 00:00:00","2026-03-18 00:00:00","2532","Entregado"
"184","1436","2188","Alineación de ruedas y balanceo.","Finalizado","2026-03-01 00:00:00","2026-03-04 00:00:00","150","Cliente informado"
"185","3938","1211","Reparación de suspensión delantera.","Finalizado","2026-03-08 00:00:00","2026-02-26 00:00:00","2618","Entregado"
"186","4894","2139","Cambio de llanta trasera.","Entregado","2026-03-03 00:00:00","2026-03-07 00:00:00","4429","Cliente informado"
"187","1273","3166","Diagnóstico de falla de encendido.","Finalizado","2026-03-01 00:00:00","2026-03-02 00:00:00","2933","Entregado"
"188","3519","1384","Cambio de cadena y sprocket.","Finalizado","2026-03-27 00:00:00","2026-03-30 00:00:00","844","Cliente informado"
"189","273","460","Diagnóstico de falla de encendido.","Finalizado","2026-03-20 00:00:00","2026-03-24 00:00:00","1476","Entregado"
"190","1870","4841","Ajuste de clutch y transmisión.","Finalizado","2026-03-27 00:00:00","2026-03-28 00:00:00","3486","Cliente informado"
"191","2521","3314","Cambio de aceite y filtro.","Finalizado","2026-03-06 00:00:00","2026-03-08 00:00:00","1779","Entregado"
"192","3120","3336","Cambio de bujía y calibración.","Finalizado","2026-03-09 00:00:00","2026-03-10 00:00:00","5390","Cliente informado"
"193","1344","3238","Limpieza de sistema de inyección.","Finalizado","2026-03-07 00:00:00","2026-03-08 00:00:00","150","Entregado"
"194","2066","5162","Ajuste y limpieza de carburador.","Finalizado","2026-03-25 00:00:00","2026-03-28 00:00:00","3378","Cliente informado"
"195","3689","1710","Cambio de bujía y calibración.","Finalizado","2026-03-13 00:00:00","2026-03-16 00:00:00","1337","Entregado"
"196","1791","2788","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-25 00:00:00","2026-03-26 00:00:00","1605","Cliente informado"
"197","480","3819","Diagnóstico de falla de encendido.","Finalizado","2026-03-09 00:00:00","2026-03-09 00:00:00","3117","Entregado"
"198","1812","2830","Reemplazo de pastillas de freno.","Finalizado","2026-03-03 00:00:00","2026-03-03 00:00:00","5416","Cliente informado"
"199","969","2859","Cambio de cadena y sprocket.","Finalizado","2026-03-14 00:00:00","2026-03-15 00:00:00","4988","Entregado"
"200","762","2527","Reemplazo de pastillas de freno.","Finalizado","2026-03-07 00:00:00","2026-03-08 00:00:00","1022","Cliente informado"
"201","486","792","Cambio de bujía y calibración.","Finalizado","2026-03-24 00:00:00","2026-03-14 00:00:00","1639","Entregado"
"202","1704","305","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-28 00:00:00","2026-03-29 00:00:00","3109","Cliente informado"
"203","2700","4017","Ajuste y limpieza de carburador.","Finalizado","2026-03-25 00:00:00","2026-03-27 00:00:00","4293","Entregado"
"204","2634","4648","Cambio de cadena y sprocket.","En proceso","2026-03-08 00:00:00","2026-03-10 00:00:00","3719","Cliente informado"
"205","3745","1361","Alineación de ruedas y balanceo.","Finalizado","2026-03-18 00:00:00","2026-03-21 00:00:00","1778","Entregado"
"206","1751","513","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-06 00:00:00","2026-03-10 00:00:00","801","Cliente informado"
"207","1064","4365","Cambio de llanta trasera.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","5230","Entregado"
"208","808","1423","Cambio de aceite y filtro.","Finalizado","2026-03-28 00:00:00","2026-03-29 00:00:00","4464","Cliente informado"
"209","1266","5050","Limpieza de sistema de inyección.","Finalizado","2026-03-02 00:00:00","2026-03-05 00:00:00","1890","Entregado"
"210","892","4236","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-04 00:00:00","2026-03-05 00:00:00","601","Cliente informado"
