IdReparacion,IdMoto,IdUsuario,Descripcion,Estado,FechaInicio,FechaFin,Total,Fase
43,2122,189,instalación y calibración de llantas deportivas y alerón incluyendo ajuste final.,Finalizado,2026-03-03 00:00:00,2026-03-04 00:00:00,1948,Cliente informado
44,4515,2714,optimización del sistema centralita y centralita debido a desgaste.,Finalizado,2026-03-28 00:00:00,2026-03-31 00:00:00,5479,Cliente informado
45,3847,4307,ajuste técnico de escaneo y evaluación incluyendo ajuste final.,Finalizado,2026-03-27 00:00:00,2026-03-31 00:00:00,5803,Entregado
46,3319,3817,mantenimiento preventivo en niveles y balanceo debido a desgaste.,Finalizado,2026-02-28 00:00:00,2026-03-02 00:00:00,3730,Cliente informado
47,3454,766,instalación y calibración de fallo eléctrico y batería por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-14 00:00:00,2755,Cliente informado
48,2826,4263,instalación y calibración de embrague y transmisión y verificación completa.,Finalizado,2026-03-18 00:00:00,2026-03-20 00:00:00,1628,Entregado
49,3352,47,corrección especializada de suspensión y amortiguadores incluyendo ajuste final.,Finalizado,2026-03-05 00:00:00,2026-03-05 00:00:00,983,Cliente informado
50,341,5027,inspección avanzada de vinilado y cámara para mejorar rendimiento.,Finalizado,2026-03-10 00:00:00,2026-03-12 00:00:00,1002,Entregado
51,1519,5237,instalación y calibración de cableado y encendido para mejorar rendimiento.,Finalizado,2026-03-18 00:00:00,2026-03-22 00:00:00,6167,Cliente informado
52,58,3681,revisión completa de frenos y cigüeñal incluyendo ajuste final.,Finalizado,2026-03-29 00:00:00,2026-04-02 00:00:00,3227,Cliente informado
53,3640,1909,inspección avanzada de chequeo y balanceo según solicitud del cliente.,Finalizado,2026-03-08 00:00:00,2026-03-08 00:00:00,1032,Cliente informado
54,1400,656,revisión completa de pintura y turbo por falla detectada.,En proceso,2026-03-08 00:00:00,2026-03-08 00:00:00,4555,Cliente informado
55,3188,4791,revisión completa de fallo eléctrico y centralita incluyendo ajuste final.,Finalizado,2026-03-21 00:00:00,2026-03-25 00:00:00,5106,Cliente informado
56,2651,1362,instalación y calibración de bomba de agua y diferencial para mejorar rendimiento.,Finalizado,2026-03-14 00:00:00,2026-03-14 00:00:00,2949,Cliente informado
57,3188,4791,optimización del sistema llantas deportivas y alerón por falla detectada.,Finalizado,2026-03-21 00:00:00,2026-03-25 00:00:00,3427,Cliente informado
58,3863,2714,diagnóstico y reparación de filtro de aceite y bujías según solicitud del cliente.,Finalizado,2026-03-03 00:00:00,2026-03-05 00:00:00,1398,Cliente informado
59,4144,4130,ajuste técnico de chequeo y problema con pruebas posteriores.,Finalizado,2026-03-24 00:00:00,2026-03-28 00:00:00,3204,Entregado
60,4017,3408,mantenimiento preventivo en motor de arranque y alternador y verificación completa.,Finalizado,2026-03-23 00:00:00,2026-03-23 00:00:00,2739,Cliente informado
61,3762,611,instalación y calibración de balanceo y bujías con pruebas posteriores.,Finalizado,2026-03-13 00:00:00,2026-03-16 00:00:00,689,Entregado
62,338,982,inspección avanzada de eje y amortiguadores por falla detectada.,Finalizado,2026-03-28 00:00:00,2026-04-01 00:00:00,5542,Entregado
63,1222,2008,ajuste técnico de diagnóstico y chequeo por falla detectada.,Entregado,2026-03-17 00:00:00,2026-03-20 00:00:00,1121,Entregado
64,2775,1770,mantenimiento preventivo en amortiguadores y frenos por falla detectada.,En proceso,2026-03-24 00:00:00,2026-03-27 00:00:00,722,Cliente informado
65,623,2129,instalación y calibración de chequeo y cambio de aceite con pruebas posteriores.,Finalizado,2026-03-03 00:00:00,2026-03-03 00:00:00,1116,Entregado
66,3275,788,mantenimiento preventivo en revisión general y falla incluyendo ajuste final.,Finalizado,2026-03-06 00:00:00,2026-03-10 00:00:00,5579,Cliente informado
67,3267,1097,inspección avanzada de escaneo y diagnóstico y verificación completa.,Finalizado,2026-03-24 00:00:00,2026-03-24 00:00:00,1304,Cliente informado
68,1581,110,corrección especializada de batería y sistema eléctrico con pruebas posteriores.,Finalizado,2026-03-04 00:00:00,2026-03-07 00:00:00,1825,Cliente informado
69,4177,1370,revisión completa de revisión y niveles incluyendo ajuste final.,Finalizado,2026-03-04 00:00:00,2026-03-04 00:00:00,3701,Entregado
70,3024,6,servicio integral para filtro de aceite y lubricacion por falla detectada.,Finalizado,2026-03-08 00:00:00,2026-03-10 00:00:00,5428,Cliente informado
71,3435,2139,mantenimiento preventivo en inspección y revisión general con pruebas posteriores.,Finalizado,2026-03-03 00:00:00,2026-03-06 00:00:00,4388,Cliente informado
72,552,1625,inspección avanzada de cigüeñal y pistones con pruebas posteriores.,Finalizado,2026-03-24 00:00:00,2026-03-26 00:00:00,1286,Cliente informado
73,584,3889,revisión completa de alternador y cableado debido a desgaste.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,2878,Entregado
74,4626,200,optimización del sistema cigüeñal y culata incluyendo ajuste final.,Finalizado,2026-03-17 00:00:00,2026-03-07 00:00:00,4165,Entregado
75,1040,5177,ajuste técnico de cableado y sistema eléctrico según solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-21 00:00:00,523,Entregado
76,4471,257,servicio integral para alineación y niveles con pruebas posteriores.,Finalizado,2026-03-15 00:00:00,2026-03-17 00:00:00,5296,Entregado
77,43,251,optimización del sistema batería y sistema eléctrico y verificación completa.,Finalizado,2026-03-14 00:00:00,2026-03-16 00:00:00,5819,Cliente informado
78,158,396,corrección especializada de chequeo y balanceo debido a desgaste.,Finalizado,2026-03-04 00:00:00,2026-03-07 00:00:00,2238,Cliente informado
79,4155,3460,servicio integral para filtro de aceite y revisión por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-11 00:00:00,3215,Cliente informado
80,2881,1593,instalación y calibración de bujías y filtro de aceite incluyendo ajuste final.,Finalizado,2026-03-05 00:00:00,2026-03-06 00:00:00,1346,Entregado
81,4516,1341,revisión completa de chequeo y balanceo incluyendo ajuste final.,Finalizado,2026-03-27 00:00:00,2026-03-31 00:00:00,1657,Entregado
82,4214,1695,ajuste técnico de sensores y motor de arranque y verificación completa.,Finalizado,2026-02-28 00:00:00,2026-03-02 00:00:00,2811,Cliente informado
83,584,3889,inspección avanzada de lubricacion y filtro de aire por falla detectada.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,2867,Entregado
84,4655,4571,instalación y calibración de embrague y culata y verificación completa.,Finalizado,2026-03-27 00:00:00,2026-03-27 00:00:00,2574,Cliente informado
85,4860,2387,servicio integral para chequeo y cambio de aceite por falla detectada.,Finalizado,2026-03-20 00:00:00,2026-03-21 00:00:00,4740,Cliente informado
86,275,3545,diagnóstico y reparación de árbol de levas y carrocería y verificación completa.,En proceso,2026-03-08 00:00:00,2026-03-10 00:00:00,1790,Cliente informado
87,3166,4505,revisión completa de amortiguadores y dirección debido a desgaste.,Finalizado,2026-03-26 00:00:00,2026-03-30 00:00:00,5504,Cliente informado
88,1920,4634,instalación y calibración de evaluación y evaluación por falla detectada.,Finalizado,2026-03-10 00:00:00,2026-03-14 00:00:00,1559,Entregado
89,2449,1778,diagnóstico y reparación de biela y cigüeñal por falla detectada.,Finalizado,2026-03-04 00:00:00,2026-02-22 00:00:00,2877,Cliente informado
90,2553,1018,revisión completa de cromado y luces led para mejorar rendimiento.,Finalizado,2026-03-04 00:00:00,2026-03-08 00:00:00,2942,Cliente informado
91,1916,3153,optimización del sistema eje y distribución por falla detectada.,Finalizado,2026-02-28 00:00:00,2026-03-02 00:00:00,6315,Cliente informado
92,4830,1055,diagnóstico y reparación de luces y sistema eléctrico por falla detectada.,Finalizado,2026-03-23 00:00:00,2026-03-23 00:00:00,5837,Cliente informado
93,567,904,revisión completa de fallo eléctrico y sensores para mejorar rendimiento.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,3810,Cliente informado
94,1478,3089,diagnóstico y reparación de motor de arranque y encendido con pruebas posteriores.,Finalizado,2026-03-03 00:00:00,2026-03-06 00:00:00,2246,Entregado
95,466,331,ajuste técnico de filtro de aire y balanceo debido a desgaste.,Finalizado,2026-03-10 00:00:00,2026-03-10 00:00:00,6379,Cliente informado
96,1962,3695,instalación y calibración de motor de arranque y luces para mejorar rendimiento.,Finalizado,2026-03-07 00:00:00,2026-03-09 00:00:00,3914,Cliente informado
97,68,5160,revisión completa de alineación y revisión para mejorar rendimiento.,Finalizado,2026-03-25 00:00:00,2026-03-27 00:00:00,4696,Entregado
98,3242,3935,corrección especializada de chequeo y filtro de aceite por falla detectada.,Finalizado,2026-03-16 00:00:00,2026-03-17 00:00:00,3390,Entregado
99,2780,4120,servicio integral para alineación y chequeo debido a desgaste.,Finalizado,2026-03-11 00:00:00,2026-03-11 00:00:00,2540,Entregado
100,2809,3741,ajuste técnico de niveles y balanceo para mejorar rendimiento.,Finalizado,2026-03-22 00:00:00,2026-03-25 00:00:00,6108,Cliente informado
101,97,3693,inspección avanzada de suspensión deportiva y escape deportivo por falla detectada.,En proceso,2026-03-09 00:00:00,2026-03-13 00:00:00,2285,Cliente informado
102,3909,2476,inspección avanzada de modificación y audio y verificación completa.,Finalizado,2026-02-28 00:00:00,2026-03-01 00:00:00,5766,Entregado
103,2791,4963,instalación y calibración de alineación y cambio de aceite por falla detectada.,Finalizado,2026-03-10 00:00:00,2026-03-10 00:00:00,4986,Entregado
104,3768,3163,instalación y calibración de performance y pintura debido a desgaste.,Finalizado,2026-03-18 00:00:00,2026-03-21 00:00:00,3799,Entregado
105,211,3238,diagnóstico y reparación de lubricacion y cambio de aceite según solicitud del cliente.,Finalizado,2026-03-12 00:00:00,2026-03-14 00:00:00,3594,Cliente informado
106,2030,4933,diagnóstico y reparación de evaluación y chequeo incluyendo ajuste final.,Finalizado,2026-03-09 00:00:00,2026-03-11 00:00:00,5744,Entregado
107,2301,2406,mantenimiento preventivo en actualización de software y suspensión deportiva según solicitud del cliente.,Finalizado,2026-03-13 00:00:00,2026-03-14 00:00:00,3715,Entregado
108,4694,4752,mantenimiento preventivo en luces y sensores con pruebas posteriores.,Entregado,2026-03-01 00:00:00,2026-03-01 00:00:00,887,Entregado
109,2155,3188,inspección avanzada de transmisión y bomba de agua debido a desgaste.,Entregado,2026-03-09 00:00:00,2026-03-12 00:00:00,2854,Entregado
110,4274,5268,revisión completa de centralita y luces incluyendo ajuste final.,Finalizado,2026-03-03 00:00:00,2026-03-06 00:00:00,760,Cliente informado
111,2497,3063,revisión completa de polarizado y polarizado con pruebas posteriores.,Finalizado,2026-03-06 00:00:00,2026-03-08 00:00:00,2305,Cliente informado
112,397,4584,diagnóstico y reparación de chequeo y revisión según solicitud del cliente.,Entregado,2026-03-03 00:00:00,2026-03-03 00:00:00,2263,Cliente informado
113,1211,113,optimización del sistema ruido y inspección para mejorar rendimiento.,Finalizado,2026-03-19 00:00:00,2026-03-21 00:00:00,4965,Cliente informado
114,3633,4118,revisión completa de ruido y revisión general por falla detectada.,Finalizado,2026-03-26 00:00:00,2026-03-27 00:00:00,4032,Cliente informado
115,3454,766,optimización del sistema frenos deportivos y custom debido a desgaste.,Finalizado,2026-03-11 00:00:00,2026-03-14 00:00:00,2741,Cliente informado
116,1632,2973,diagnóstico y reparación de alineación y chequeo por falla detectada.,Finalizado,2026-03-15 00:00:00,2026-03-17 00:00:00,4296,Cliente informado
117,709,1627,ajuste técnico de filtro de aire y revisión según solicitud del cliente.,Finalizado,2026-03-12 00:00:00,2026-03-15 00:00:00,6356,Cliente informado
118,2613,4595,inspección avanzada de cableado y sensores y verificación completa.,Finalizado,2026-03-11 00:00:00,2026-03-13 00:00:00,5403,Cliente informado
119,1064,4365,revisión completa de ruido y test incluyendo ajuste final.,Finalizado,2026-02-28 00:00:00,2026-03-04 00:00:00,3429,Entregado
120,4351,3126,revisión completa de chequeo y revisión según solicitud del cliente.,Finalizado,2026-03-19 00:00:00,2026-03-20 00:00:00,4376,Cliente informado
121,632,3003,optimización del sistema escaneo y chequeo y verificación completa.,Finalizado,2026-03-13 00:00:00,2026-03-14 00:00:00,6209,Cliente informado
122,2922,599,instalación y calibración de motor y culata y verificación completa.,Finalizado,2026-03-14 00:00:00,2026-03-04 00:00:00,2241,Cliente informado
123,4741,3736,servicio integral para balanceo y bujías con pruebas posteriores.,Finalizado,2026-03-14 00:00:00,2026-03-17 00:00:00,5164,Entregado
124,4256,4120,diagnóstico y reparación de fallo eléctrico y encendido para mejorar rendimiento.,Finalizado,2026-03-13 00:00:00,2026-03-03 00:00:00,6027,Entregado
125,3961,4270,corrección especializada de batería y cableado con pruebas posteriores.,Finalizado,2026-03-03 00:00:00,2026-03-05 00:00:00,3654,Entregado
126,653,3443,revisión completa de sistema eléctrico y alternador debido a desgaste.,Finalizado,2026-03-27 00:00:00,2026-03-28 00:00:00,3013,Entregado
127,1374,2616,optimización del sistema alineación y alineación con pruebas posteriores.,Finalizado,2026-03-22 00:00:00,2026-03-23 00:00:00,1929,Cliente informado
128,2183,2846,optimización del sistema radiador y pistones y verificación completa.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,3960,Cliente informado
129,574,2405,revisión completa de caja de cambios y eje y verificación completa.,Finalizado,2026-03-12 00:00:00,2026-03-13 00:00:00,2762,Cliente informado
130,1565,2852,servicio integral para ruido y escaneo con pruebas posteriores.,Finalizado,2026-03-24 00:00:00,2026-03-27 00:00:00,2199,Cliente informado
131,4884,1811,optimización del sistema cámara y calipers debido a desgaste.,Finalizado,2026-03-01 00:00:00,2026-03-05 00:00:00,2636,Entregado
132,299,58,mantenimiento preventivo en motor de arranque y centralita para mejorar rendimiento.,Finalizado,2026-03-03 00:00:00,2026-03-05 00:00:00,858,Entregado
133,4518,4325,inspección avanzada de alineación y revisión y verificación completa.,Finalizado,2026-03-01 00:00:00,2026-03-02 00:00:00,4984,Entregado
134,4955,4503,ajuste técnico de batería y fallo eléctrico incluyendo ajuste final.,Finalizado,2026-03-11 00:00:00,2026-03-13 00:00:00,1500,Entregado
135,2928,2742,servicio integral para sensores y cableado incluyendo ajuste final.,Finalizado,2026-03-22 00:00:00,2026-03-26 00:00:00,3460,Cliente informado
136,788,2774,corrección especializada de sensores de estacionamiento y estético por falla detectada.,Finalizado,2026-03-07 00:00:00,2026-03-09 00:00:00,705,Cliente informado
137,4880,3275,diagnóstico y reparación de falla y falla incluyendo ajuste final.,Finalizado,2026-03-28 00:00:00,2026-04-01 00:00:00,1235,Cliente informado
138,2563,2610,inspección avanzada de distribución y suspensión incluyendo ajuste final.,Finalizado,2026-03-28 00:00:00,2026-03-28 00:00:00,6423,Entregado
139,1285,565,diagnóstico y reparación de escaneo y test según solicitud del cliente.,Finalizado,2026-03-06 00:00:00,2026-02-24 00:00:00,1868,Entregado
140,3769,2366,servicio integral para diagnóstico y problema por falla detectada.,Finalizado,2026-03-24 00:00:00,2026-03-25 00:00:00,2601,Entregado
141,2977,2733,revisión completa de cambio color y tuning según solicitud del cliente.,Finalizado,2026-03-17 00:00:00,2026-03-21 00:00:00,1541,Entregado
142,315,3035,ajuste técnico de ruido y test para mejorar rendimiento.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,3468,Entregado
143,967,4338,inspección avanzada de motor de arranque y motor de arranque con pruebas posteriores.,Finalizado,2026-03-04 00:00:00,2026-03-06 00:00:00,898,Cliente informado
144,3252,1302,diagnóstico y reparación de vinilado y custom según solicitud del cliente.,Finalizado,2026-03-14 00:00:00,2026-03-16 00:00:00,6434,Cliente informado
145,2527,2575,inspección avanzada de pintura y sensores de estacionamiento incluyendo ajuste final.,Finalizado,2026-03-16 00:00:00,2026-03-18 00:00:00,6112,Entregado
146,83,2646,ajuste técnico de sensores y encendido debido a desgaste.,Finalizado,2026-03-01 00:00:00,2026-03-01 00:00:00,3137,Entregado
147,1405,1463,instalación y calibración de caja de cambios y caja de cambios incluyendo ajuste final.,Finalizado,2026-03-17 00:00:00,2026-03-20 00:00:00,5538,Cliente informado
148,3278,2437,instalación y calibración de niveles y niveles incluyendo ajuste final.,Finalizado,2026-03-03 00:00:00,2026-03-03 00:00:00,2867,Cliente informado
149,3841,4136,revisión completa de test y problema incluyendo ajuste final.,En proceso,2026-03-09 00:00:00,2026-03-12 00:00:00,3783,Cliente informado
150,1219,1710,corrección especializada de sensores y motor de arranque por falla detectada.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,3204,Entregado
151,1187,3819,ajuste técnico de caja de cambios y bomba de agua con pruebas posteriores.,Finalizado,2026-03-10 00:00:00,2026-03-14 00:00:00,4522,Cliente informado
152,2325,3308,mantenimiento preventivo en evaluación y escaneo para mejorar rendimiento.,Finalizado,2026-03-23 00:00:00,2026-03-26 00:00:00,1179,Entregado
153,3640,1909,revisión completa de evaluación y revisión general debido a desgaste.,Finalizado,2026-03-08 00:00:00,2026-03-08 00:00:00,1309,Cliente informado
154,3615,2346,servicio integral para cableado y alternador y verificación completa.,Finalizado,2026-03-20 00:00:00,2026-03-21 00:00:00,4743,Entregado
155,3638,2264,mantenimiento preventivo en fallo eléctrico y batería y verificación completa.,Finalizado,2026-03-18 00:00:00,2026-03-22 00:00:00,573,Entregado
156,2144,4165,servicio integral para reprogramación y reprogramación debido a desgaste.,Finalizado,2026-03-08 00:00:00,2026-03-09 00:00:00,6137,Entregado
157,4366,4693,servicio integral para frenos deportivos y audio con pruebas posteriores.,Finalizado,2026-03-18 00:00:00,2026-03-19 00:00:00,5140,Entregado
158,3098,737,ajuste técnico de frenos deportivos y turbo para mejorar rendimiento.,Finalizado,2026-03-11 00:00:00,2026-03-12 00:00:00,3214,Cliente informado
159,4072,3642,ajuste técnico de performance y pantalla y verificación completa.,Finalizado,2026-03-05 00:00:00,2026-03-05 00:00:00,4850,Cliente informado
160,3724,2393,servicio integral para sensores de estacionamiento y suspensión deportiva con pruebas posteriores.,Finalizado,2026-03-23 00:00:00,2026-03-23 00:00:00,2067,Cliente informado
161,4369,4843,instalación y calibración de amortiguadores y bomba de agua con pruebas posteriores.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,1608,Cliente informado
162,4106,2717,inspección avanzada de árbol de levas y biela y verificación completa.,Finalizado,2026-03-21 00:00:00,2026-03-22 00:00:00,2514,Entregado
163,3852,1984,optimización del sistema motor de arranque y batería y verificación completa.,Finalizado,2026-03-11 00:00:00,2026-03-15 00:00:00,945,Entregado
164,4452,2306,servicio integral para revisión general y falla según solicitud del cliente.,Finalizado,2026-03-09 00:00:00,2026-03-13 00:00:00,1032,Cliente informado
165,2736,4348,corrección especializada de cigüeñal y distribución para mejorar rendimiento.,Finalizado,2026-03-28 00:00:00,2026-03-31 00:00:00,4570,Entregado
166,88,4866,instalación y calibración de amortiguadores y eje con pruebas posteriores.,Finalizado,2026-03-01 00:00:00,2026-03-02 00:00:00,4764,Cliente informado
167,597,2954,diagnóstico y reparación de centralita y luces con pruebas posteriores.,Finalizado,2026-03-25 00:00:00,2026-03-27 00:00:00,5582,Cliente informado
168,4116,41,optimización del sistema árbol de levas y radiador por falla detectada.,Finalizado,2026-03-05 00:00:00,2026-03-08 00:00:00,5200,Cliente informado
169,3163,2619,ajuste técnico de centralita y motor de arranque con pruebas posteriores.,Finalizado,2026-03-28 00:00:00,2026-03-30 00:00:00,4856,Cliente informado
170,251,4162,inspección avanzada de chasis y amortiguadores con pruebas posteriores.,Finalizado,2026-03-08 00:00:00,2026-02-26 00:00:00,5892,Entregado
171,4127,3315,corrección especializada de lubricacion y filtro de aceite para mejorar rendimiento.,Finalizado,2026-03-29 00:00:00,2026-03-30 00:00:00,1861,Cliente informado
172,3381,5,mantenimiento preventivo en cableado y cableado debido a desgaste.,Finalizado,2026-03-07 00:00:00,2026-03-09 00:00:00,2748,Entregado
173,2557,1522,servicio integral para batería y motor de arranque debido a desgaste.,Finalizado,2026-03-03 00:00:00,2026-03-06 00:00:00,3736,Cliente informado
174,231,1844,instalación y calibración de escaneo y diagnóstico con pruebas posteriores.,Finalizado,2026-03-18 00:00:00,2026-03-21 00:00:00,2322,Cliente informado
175,587,446,instalación y calibración de motor de arranque y motor de arranque por falla detectada.,Finalizado,2026-03-28 00:00:00,2026-03-28 00:00:00,4177,Entregado
176,2338,3092,corrección especializada de sensores y alternador incluyendo ajuste final.,Finalizado,2026-03-01 00:00:00,2026-03-05 00:00:00,2960,Cliente informado
177,315,3035,mantenimiento preventivo en evaluación y chequeo debido a desgaste.,Finalizado,2026-03-07 00:00:00,2026-03-10 00:00:00,3000,Entregado
178,838,3395,inspección avanzada de alineación y filtro de aceite y verificación completa.,Finalizado,2026-03-16 00:00:00,2026-03-17 00:00:00,3150,Cliente informado
179,2532,3999,diagnóstico y reparación de alternador y luces incluyendo ajuste final.,Finalizado,2026-03-24 00:00:00,2026-03-25 00:00:00,6237,Entregado
180,1650,3127,instalación y calibración de chequeo y filtro de aire para mejorar rendimiento.,Finalizado,2026-03-19 00:00:00,2026-03-22 00:00:00,4599,Entregado
181,3563,591,optimización del sistema luces y sensores según solicitud del cliente.,Finalizado,2026-03-24 00:00:00,2026-03-25 00:00:00,5126,Cliente informado
182,2503,2151,optimización del sistema cableado y batería con pruebas posteriores.,Finalizado,2026-03-21 00:00:00,2026-03-21 00:00:00,2790,Cliente informado
183,2546,429,servicio integral para alternador y encendido según solicitud del cliente.,Finalizado,2026-03-08 00:00:00,2026-03-10 00:00:00,1196,Cliente informado
